                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     37,                 0.7017,                0.59687,                 1.1743,                0.95424,                0.77544,                0.87722,                0.74204,                0.64502,                0.49346,                 1.1274,               0.008812,               0.008812,               0.008812
                     38,                0.70436,                0.60264,                 1.1705,                0.95109,                 0.7774,                0.87517,                0.74467,                 0.6406,                0.49568,                 1.1165,               0.008779,               0.008779,               0.008779
                     39,                0.69091,                0.58619,                 1.1633,                0.94049,                0.77984,                0.87456,                0.74096,                 0.6455,                0.50271,                 1.1262,               0.008746,               0.008746,               0.008746
                     40,                0.69554,                0.58682,                 1.1573,                 0.9406,                0.79018,                0.88018,                0.74482,                0.64414,                0.48792,                 1.1203,               0.008713,               0.008713,               0.008713
                     41,                0.69577,                0.58152,                 1.1623,                0.94902,                0.79227,                0.88025,                0.74712,                0.63795,                0.49324,                 1.1128,                0.00868,                0.00868,                0.00868
                     42,                0.68756,                 0.5755,                 1.1556,                0.93375,                0.79981,                0.88265,                0.75098,                0.64077,                0.47695,                 1.1161,               0.008647,               0.008647,               0.008647
                     43,                 0.6834,                0.56465,                 1.1548,                0.94933,                0.78571,                0.87916,                 0.7422,                0.64748,                0.48931,                 1.1219,               0.008614,               0.008614,               0.008614
                     44,                0.68457,                0.57131,                 1.1491,                0.94127,                  0.792,                0.88319,                0.74888,                0.64007,                0.47754,                 1.1171,               0.008581,               0.008581,               0.008581
                     45,                0.68906,                0.57421,                 1.1533,                0.93244,                0.80284,                0.88116,                0.74722,                0.64189,                0.47507,                 1.1172,               0.008548,               0.008548,               0.008548
                     46,                0.67939,                0.56034,                 1.1444,                0.95506,                 0.7911,                0.88164,                0.74951,                0.63257,                0.47272,                 1.1069,               0.008515,               0.008515,               0.008515
                     47,                0.68025,                0.56394,                 1.1468,                0.94151,                0.79542,                0.87898,                 0.7461,                0.64232,                 0.4794,                 1.1144,               0.008482,               0.008482,               0.008482
                     48,                0.67925,                 0.5617,                  1.144,                0.95033,                0.79599,                0.88178,                0.74959,                0.63662,                0.47904,                  1.112,               0.008449,               0.008449,               0.008449
                     49,                0.67827,                0.56044,                 1.1387,                0.94281,                0.79452,                0.88412,                0.74876,                0.63857,                0.46851,                 1.1121,               0.008416,               0.008416,               0.008416
                     50,                0.67772,                0.55555,                 1.1407,                0.93422,                0.80603,                0.88346,                0.75065,                0.63649,                0.47963,                 1.1091,               0.008383,               0.008383,               0.008383
                     51,                0.67506,                0.55182,                 1.1361,                0.94542,                0.79941,                0.88302,                0.75029,                0.63196,                0.46617,                  1.106,                0.00835,                0.00835,                0.00835
