                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     37,                0.66611,                0.48405,                  1.063,                0.95053,                0.77082,                0.86431,                0.73359,                0.62347,                 0.4292,                  1.061,               0.008812,               0.008812,               0.008812
                     38,                0.66866,                0.48635,                 1.0615,                0.92681,                0.79299,                0.86674,                0.73526,                0.61966,                0.42355,                 1.0559,               0.008779,               0.008779,               0.008779
                     39,                0.65843,                0.47876,                 1.0598,                0.92205,                0.79159,                0.86884,                0.73685,                0.62607,                0.42027,                 1.0607,               0.008746,               0.008746,               0.008746
                     40,                0.65901,                0.47697,                 1.0563,                0.94334,                0.79013,                0.87161,                0.73661,                0.62809,                0.41818,                 1.0617,               0.008713,               0.008713,               0.008713
                     41,                0.66398,                0.48071,                 1.0631,                0.94967,                0.78473,                0.86774,                 0.7352,                0.62609,                0.42775,                 1.0599,                0.00868,                0.00868,                0.00868
                     42,                0.65918,                0.47492,                 1.0571,                0.94874,                0.78425,                 0.8719,                0.73874,                  0.626,                0.41715,                  1.062,               0.008647,               0.008647,               0.008647
                     43,                0.65368,                0.46364,                 1.0521,                0.93958,                0.79126,                0.87096,                0.73714,                0.62388,                0.41502,                 1.0575,               0.008614,               0.008614,               0.008614
                     44,                0.65234,                0.46588,                 1.0466,                0.91709,                0.80093,                0.86784,                0.73781,                0.61855,                0.41726,                 1.0518,               0.008581,               0.008581,               0.008581
                     45,                0.65397,                0.46565,                 1.0502,                0.94851,                0.78523,                0.87004,                0.73461,                0.62854,                0.41403,                 1.0643,               0.008548,               0.008548,               0.008548
                     46,                0.64605,                0.45753,                 1.0482,                0.93672,                0.79661,                0.87164,                0.73923,                0.62195,                0.41761,                 1.0534,               0.008515,               0.008515,               0.008515
                     47,                0.64412,                0.45982,                 1.0498,                0.93405,                0.80235,                0.87476,                0.74177,                0.61903,                 0.4045,                 1.0538,               0.008482,               0.008482,               0.008482
                     48,                0.64761,                0.46207,                 1.0502,                0.94254,                0.79455,                0.87221,                0.74315,                0.61141,                0.42045,                 1.0478,               0.008449,               0.008449,               0.008449
                     49,                0.64504,                0.45494,                 1.0441,                0.93092,                 0.8044,                 0.8773,                 0.7448,                0.61871,                0.40365,                  1.055,               0.008416,               0.008416,               0.008416
                     50,                0.64549,                0.45577,                 1.0497,                 0.9335,                0.79661,                0.87726,                0.74542,                0.61796,                0.39647,                 1.0555,               0.008383,               0.008383,               0.008383
                     51,                0.64214,                0.44781,                 1.0447,                0.97025,                0.78523,                0.87483,                0.74336,                0.61744,                0.39615,                 1.0536,                0.00835,                0.00835,                0.00835
                     52,                 0.6413,                0.44817,                 1.0398,                0.96383,                0.78376,                0.87716,                0.74409,                0.61449,                0.39937,                 1.0554,               0.008317,               0.008317,               0.008317
                     53,                0.63742,                0.44829,                 1.0406,                0.95014,                0.79061,                0.87864,                0.74748,                0.61281,                0.39553,                 1.0549,               0.008284,               0.008284,               0.008284
                     54,                0.63799,                0.44912,                 1.0387,                 0.9507,                0.79255,                0.87374,                0.74347,                0.61194,                0.39995,                 1.0487,               0.008251,               0.008251,               0.008251
                     55,                0.63156,                0.44385,                 1.0394,                0.92589,                0.80679,                0.87542,                  0.746,                0.61483,                  0.402,                 1.0515,               0.008218,               0.008218,               0.008218
                     56,                0.63338,                 0.4464,                 1.0389,                0.95785,                0.78767,                0.87831,                0.74606,                 0.6088,                0.39169,                 1.0458,               0.008185,               0.008185,               0.008185
                     57,                0.64006,                0.44886,                 1.0397,                0.94661,                0.79599,                 0.8776,                0.74377,                0.61047,                0.38538,                 1.0531,               0.008152,               0.008152,               0.008152
                     58,                0.63147,                0.43676,                 1.0368,                 0.9428,                0.79838,                0.87876,                0.74749,                0.60242,                0.38837,                 1.0416,               0.008119,               0.008119,               0.008119
                     59,                0.63198,                0.43963,                   1.04,                0.94661,                0.79648,                0.88113,                0.74912,                0.60593,                0.38793,                 1.0474,               0.008086,               0.008086,               0.008086
                     60,                0.62595,                0.43595,                 1.0327,                 0.9528,                0.79001,                0.87989,                 0.7461,                0.60582,                0.39734,                 1.0472,               0.008053,               0.008053,               0.008053
                     61,                0.62438,                0.43584,                 1.0336,                0.94882,                0.79795,                0.87798,                0.74697,                0.60877,                0.39313,                 1.0519,                0.00802,                0.00802,                0.00802
                     62,                0.63026,                0.43665,                 1.0342,                0.94348,                0.80284,                0.88388,                0.75053,                0.60407,                0.38535,                 1.0421,               0.007987,               0.007987,               0.007987
                     63,                0.62955,                0.43639,                 1.0405,                0.94111,                0.81314,                0.88485,                0.75091,                0.60978,                0.37905,                 1.0487,               0.007954,               0.007954,               0.007954
                     64,                0.62776,                0.43403,                 1.0358,                0.93736,                0.81257,                0.88397,                0.75386,                0.60743,                0.37965,                 1.0456,               0.007921,               0.007921,               0.007921
                     65,                0.62294,                0.43098,                 1.0311,                0.92051,                0.81751,                0.88076,                0.75033,                0.60392,                0.38343,                 1.0428,               0.007888,               0.007888,               0.007888
                     66,                0.62523,                0.43312,                 1.0316,                0.95053,                0.80431,                0.88112,                0.75249,                0.60154,                0.38325,                 1.0412,               0.007855,               0.007855,               0.007855
                     67,                0.62329,                0.42957,                 1.0278,                0.92198,                0.82099,                0.88223,                0.75016,                0.60184,                0.38014,                 1.0441,               0.007822,               0.007822,               0.007822
                     68,                0.61939,                0.42331,                 1.0287,                0.95779,                0.79256,                0.87857,                0.74963,                 0.6072,                0.38259,                 1.0494,               0.007789,               0.007789,               0.007789
                     69,                0.61852,                0.42503,                 1.0253,                0.94585,                0.79892,                0.87943,                0.75136,                0.60187,                0.38733,                  1.043,               0.007756,               0.007756,               0.007756
                     70,                0.62393,                0.42553,                  1.031,                0.92556,                0.81506,                 0.8838,                0.74982,                0.60717,                0.38184,                 1.0531,               0.007723,               0.007723,               0.007723
                     71,                0.62129,                0.42871,                 1.0306,                0.93893,                0.80485,                0.88119,                0.75088,                0.60294,                0.38572,                 1.0463,                0.00769,                0.00769,                0.00769
                     72,                0.61635,                0.42129,                 1.0304,                0.95614,                0.79843,                0.88162,                0.74888,                0.60584,                0.37804,                  1.045,               0.007657,               0.007657,               0.007657
                     73,                0.61832,                0.42186,                 1.0276,                0.94847,                0.79843,                0.88021,                0.75165,                0.59954,                0.39666,                  1.042,               0.007624,               0.007624,               0.007624
                     74,                0.61842,                0.42403,                 1.0236,                0.94557,                0.80735,                0.88572,                0.75396,                0.59935,                0.37988,                 1.0415,               0.007591,               0.007591,               0.007591
                     75,                0.62287,                0.42372,                 1.0265,                0.94336,                0.80528,                0.88342,                0.75352,                0.60333,                0.38217,                  1.044,               0.007558,               0.007558,               0.007558
                     76,                0.61897,                0.42457,                 1.0305,                0.93585,                0.81018,                0.88316,                0.75128,                0.60253,                0.38403,                 1.0437,               0.007525,               0.007525,               0.007525
                     77,                0.61572,                0.41845,                 1.0341,                0.93467,                0.81556,                0.88334,                0.75108,                0.60236,                0.37742,                  1.046,               0.007492,               0.007492,               0.007492
                     78,                0.61394,                0.41676,                 1.0237,                0.94126,                0.81529,                0.88539,                0.75457,                0.60414,                0.37591,                 1.0468,               0.007459,               0.007459,               0.007459
                     79,                 0.6133,                0.41681,                 1.0237,                0.95726,                0.80382,                 0.8816,                0.75377,                0.59626,                0.37195,                 1.0368,               0.007426,               0.007426,               0.007426
                     80,                0.61308,                0.41653,                 1.0259,                0.93775,                0.81074,                0.88404,                0.75217,                 0.6003,                 0.3781,                 1.0424,               0.007393,               0.007393,               0.007393
                     81,                 0.6129,                0.41223,                 1.0228,                0.94437,                0.80562,                0.88485,                 0.7551,                0.59507,                0.37628,                 1.0363,                0.00736,                0.00736,                0.00736
                     82,                0.61591,                0.41056,                 1.0211,                0.94984,                0.80601,                0.88645,                0.75552,                0.59435,                 0.3705,                 1.0383,               0.007327,               0.007327,               0.007327
                     83,                0.60451,                0.40861,                 1.0226,                 0.9445,                0.80871,                0.88716,                0.75485,                0.60547,                 0.3719,                 1.0448,               0.007294,               0.007294,               0.007294
                     84,                0.60846,                0.41098,                 1.0214,                0.94509,                0.80626,                0.88589,                0.75533,                0.59826,                0.37404,                  1.039,               0.007261,               0.007261,               0.007261
                     85,                 0.6069,                0.41093,                 1.0231,                 0.9268,                0.82383,                0.88769,                0.75977,                0.58605,                0.36575,                 1.0288,               0.007228,               0.007228,               0.007228
                     86,                0.60968,                0.40897,                 1.0193,                0.94521,                0.81018,                0.88667,                0.75701,                 0.5945,                 0.3685,                 1.0387,               0.007195,               0.007195,               0.007195
                     87,                0.60207,                0.40584,                 1.0172,                0.92394,                0.82192,                0.88678,                0.75565,                0.59673,                0.36792,                 1.0402,               0.007162,               0.007162,               0.007162
                     88,                 0.6013,                0.40287,                 1.0186,                0.95202,                0.80577,                0.88956,                0.75581,                0.59487,                 0.3618,                  1.039,               0.007129,               0.007129,               0.007129
                     89,                 0.6047,                0.40605,                 1.0189,                0.94074,                0.80775,                0.88903,                0.75773,                0.58894,                0.36908,                  1.033,               0.007096,               0.007096,               0.007096
                     90,                0.60187,                0.40182,                 1.0152,                 0.9159,                0.82589,                 0.8927,                0.75769,                 0.5975,                0.37435,                 1.0389,               0.007063,               0.007063,               0.007063
                     91,                 0.5983,                0.39872,                 1.0143,                 0.9515,                0.80617,                0.88845,                0.75706,                0.59933,                0.37571,                 1.0398,                0.00703,                0.00703,                0.00703
                     92,                0.60402,                0.40083,                  1.017,                 0.9543,                0.80871,                 0.8903,                0.75891,                0.59154,                0.36387,                 1.0372,               0.006997,               0.006997,               0.006997
                     93,                0.60132,                0.39782,                 1.0182,                  0.942,                0.81842,                0.88906,                0.75652,                0.59635,                0.36789,                 1.0366,               0.006964,               0.006964,               0.006964
                     94,                0.60358,                0.40027,                 1.0135,                0.93396,                0.81849,                0.88996,                0.75947,                0.59252,                 0.3626,                 1.0379,               0.006931,               0.006931,               0.006931
                     95,                0.59992,                0.39894,                  1.014,                0.93336,                0.81537,                0.88941,                0.75675,                0.59854,                0.36661,                 1.0398,               0.006898,               0.006898,               0.006898
                     96,                0.59538,                0.39376,                 1.0094,                0.93477,                0.81556,                0.88931,                0.75836,                0.58946,                0.37035,                  1.033,               0.006865,               0.006865,               0.006865
                     97,                0.59615,                0.39767,                 1.0153,                0.94777,                0.81679,                 0.8897,                0.75926,                0.59269,                0.36545,                 1.0351,               0.006832,               0.006832,               0.006832
                     98,                0.59709,                0.39644,                 1.0134,                0.92853,                0.82436,                0.88896,                 0.7591,                0.59472,                0.36655,                 1.0379,               0.006799,               0.006799,               0.006799
                     99,                  0.598,                0.39886,                 1.0143,                0.94354,                0.80773,                0.88908,                0.75896,                0.59047,                0.37424,                 1.0337,               0.006766,               0.006766,               0.006766
                    100,                0.58841,                0.39236,                 1.0064,                0.93198,                0.81996,                0.88944,                0.76076,                0.59123,                0.36239,                 1.0362,               0.006733,               0.006733,               0.006733
                    101,                0.58937,                0.39053,                 1.0058,                0.93028,                0.82255,                 0.8922,                0.76036,                0.59169,                0.36655,                 1.0385,                 0.0067,                 0.0067,                 0.0067
                    102,                0.59422,                0.39131,                 1.0114,                0.94855,                0.81172,                0.89218,                0.76013,                0.59027,                0.36306,                 1.0354,               0.006667,               0.006667,               0.006667
                    103,                0.58961,                0.38504,                 1.0095,                0.93392,                0.82485,                0.89369,                0.76248,                0.58853,                0.36043,                 1.0316,               0.006634,               0.006634,               0.006634
                    104,                0.59284,                0.39363,                 1.0113,                0.95777,                0.80088,                0.89005,                0.75954,                0.59219,                0.36676,                 1.0375,               0.006601,               0.006601,               0.006601
                    105,                0.58898,                0.38632,                 1.0118,                0.93986,                0.81807,                0.89111,                0.76071,                0.58635,                0.35819,                 1.0357,               0.006568,               0.006568,               0.006568
                    106,                0.59598,                0.39106,                 1.0082,                0.92465,                0.82849,                0.88929,                 0.7599,                0.59376,                0.36749,                 1.0386,               0.006535,               0.006535,               0.006535
                    107,                0.58928,                0.38917,                  1.009,                0.95011,                0.81262,                 0.8907,                0.75875,                0.58928,                 0.3652,                 1.0361,               0.006502,               0.006502,               0.006502
                    108,                0.58429,                0.38546,                 1.0082,                0.93592,                0.82632,                0.89116,                0.76073,                0.58813,                0.36107,                 1.0342,               0.006469,               0.006469,               0.006469
                    109,                   0.59,                0.38732,                 1.0028,                 0.9457,                0.81806,                0.89156,                0.76111,                0.58752,                0.36112,                  1.032,               0.006436,               0.006436,               0.006436
                    110,                0.58113,                0.38218,                 1.0077,                0.93798,                 0.8213,                 0.8913,                0.75898,                0.59262,                0.36302,                 1.0336,               0.006403,               0.006403,               0.006403
                    111,                0.59278,                0.38628,                 1.0051,                0.93919,                 0.8229,                0.89112,                0.76084,                0.59177,                0.36483,                 1.0335,                0.00637,                0.00637,                0.00637
                    112,                0.58214,                0.38311,                 1.0036,                0.94001,                0.82192,                0.88955,                0.76134,                0.58596,                0.35862,                 1.0292,               0.006337,               0.006337,               0.006337
                    113,                0.58035,                 0.3794,                 1.0066,                0.93976,                0.82192,                0.89547,                0.76137,                0.58583,                 0.3567,                 1.0319,               0.006304,               0.006304,               0.006304
                    114,                 0.5815,                0.38105,                 1.0039,                0.94294,                0.82681,                 0.8962,                0.76341,                0.59001,                0.35773,                 1.0348,               0.006271,               0.006271,               0.006271
                    115,                 0.5894,                0.38361,                 1.0098,                0.94589,                0.82094,                0.89426,                0.76167,                0.58874,                0.35661,                 1.0342,               0.006238,               0.006238,               0.006238
                    116,                0.58189,                0.37967,                 1.0052,                0.94434,                0.82173,                0.89314,                 0.7642,                 0.5875,                0.35262,                 1.0359,               0.006205,               0.006205,               0.006205
                    117,                0.57904,                0.37552,                 1.0027,                 0.9258,                0.83562,                0.89475,                0.76404,                0.58596,                0.35337,                 1.0312,               0.006172,               0.006172,               0.006172
                    118,                0.57832,                0.37765,                 1.0032,                0.93742,                0.82241,                0.89418,                0.76326,                 0.5881,                0.35521,                 1.0331,               0.006139,               0.006139,               0.006139
