                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     37,                0.67716,                0.50229,                 1.0675,                0.94274,                0.77886,                0.86625,                0.73098,                0.63218,                0.44166,                 1.0609,               0.008812,               0.008812,               0.008812
                     38,                0.68159,                0.50654,                 1.0666,                0.94022,                0.79256,                0.86541,                 0.7318,                 0.6278,                0.44058,                 1.0593,               0.008779,               0.008779,               0.008779
                     39,                0.66809,                0.49403,                 1.0625,                0.94171,                0.79043,                 0.8669,                0.73606,                0.62533,                0.42547,                 1.0517,               0.008746,               0.008746,               0.008746
                     40,                0.67063,                0.49381,                 1.0593,                 0.9342,                0.79878,                 0.8706,                0.73257,                0.63228,                0.42982,                 1.0544,               0.008713,               0.008713,               0.008713
                     41,                 0.6754,                 0.4941,                 1.0695,                0.94143,                0.78669,                 0.8661,                0.73268,                0.62596,                0.44518,                  1.049,                0.00868,                0.00868,                0.00868
                     42,                0.66835,                0.49325,                 1.0608,                0.94532,                0.79506,                0.86928,                0.73281,                0.63265,                0.42382,                 1.0579,               0.008647,               0.008647,               0.008647
                     43,                0.66289,                 0.4777,                 1.0557,                0.95477,                0.78229,                0.86952,                0.73372,                0.62709,                0.43251,                 1.0548,               0.008614,               0.008614,               0.008614
                     44,                0.66415,                 0.4787,                 1.0508,                0.94385,                0.78942,                0.87037,                0.73719,                0.62652,                0.42373,                 1.0509,               0.008581,               0.008581,               0.008581
                     45,                0.66613,                0.48096,                 1.0557,                0.94857,                0.78523,                0.86734,                 0.7376,                0.62401,                0.42421,                 1.0537,               0.008548,               0.008548,               0.008548
                     46,                0.65284,                0.47042,                 1.0497,                0.93599,                0.79599,                0.87081,                0.73958,                0.61773,                0.41751,                 1.0427,               0.008515,               0.008515,               0.008515
                     47,                0.65539,                0.48157,                 1.0534,                0.95287,                0.78278,                0.86787,                0.73761,                0.61836,                0.42353,                 1.0481,               0.008482,               0.008482,               0.008482
                     48,                0.66047,                 0.4804,                 1.0551,                0.93713,                0.78718,                0.86485,                0.73652,                0.62052,                0.43131,                  1.049,               0.008449,               0.008449,               0.008449
                     49,                0.65675,                0.47185,                 1.0479,                0.94579,                0.79386,                0.87082,                0.74047,                0.62024,                0.41662,                 1.0502,               0.008416,               0.008416,               0.008416
                     50,                0.65543,                0.47167,                 1.0532,                0.95449,                0.79207,                0.87253,                0.74095,                0.61465,                0.41249,                 1.0446,               0.008383,               0.008383,               0.008383
                     51,                0.65337,                0.46876,                 1.0493,                0.94445,                0.79856,                 0.8724,                0.74163,                0.61448,                0.40679,                 1.0482,                0.00835,                0.00835,                0.00835
                     52,                0.65622,                0.46871,                 1.0474,                0.94521,                0.79331,                0.86974,                0.73937,                0.62065,                0.41168,                 1.0507,               0.008317,               0.008317,               0.008317
                     53,                0.64737,                 0.4623,                 1.0435,                 0.9549,                0.78767,                0.87291,                0.74166,                0.61817,                 0.4079,                 1.0502,               0.008284,               0.008284,               0.008284
                     54,                0.64845,                0.46514,                 1.0431,                0.94737,                0.80186,                 0.8737,                0.74143,                0.61558,                0.40778,                 1.0484,               0.008251,               0.008251,               0.008251
                     55,                0.64314,                0.46089,                 1.0447,                0.95466,                 0.7818,                0.86976,                0.73976,                 0.6209,                0.41371,                 1.0542,               0.008218,               0.008218,               0.008218
                     56,                0.64376,                0.46429,                 1.0423,                0.94741,                0.79207,                0.87002,                0.73853,                0.61603,                0.41684,                 1.0485,               0.008185,               0.008185,               0.008185
                     57,                0.65212,                0.46392,                 1.0441,                0.95231,                0.79159,                0.87458,                0.74304,                0.61008,                0.39877,                 1.0414,               0.008152,               0.008152,               0.008152
                     58,                0.64372,                0.45589,                 1.0413,                0.94744,                 0.7955,                0.87472,                0.74236,                0.60777,                0.40103,                 1.0433,               0.008119,               0.008119,               0.008119
                     59,                0.64394,                0.45777,                 1.0438,                0.92758,                 0.8021,                0.87557,                0.74441,                0.61068,                0.40784,                 1.0404,               0.008086,               0.008086,               0.008086
                     60,                0.63774,                0.45175,                 1.0375,                0.92728,                0.80577,                0.87147,                 0.7431,                 0.6121,                0.41793,                 1.0417,               0.008053,               0.008053,               0.008053
